NEG;CÓD.;DESCRIÇÃO
9213;4201;VEJA PERFUMES LAVANDA DA FRANCA 500ML C/24
9213;4836;VEJA PERFUMES LAVANDA DA FRANCA 1L C/12
9213;5210;VEJA PERFUMES LAVANDA DA FRANCA 2L C/06
9213;4202;VEJA PERFUMES FLORES DO MEDITERRANEO 500ML C/24
9213;4837;VEJA PERFUMES FLORES DO MEDITERRANEO 1L C/12
9213;5209;VEJA PERFUMES FLORES DO MEDITERRANEO 2L C/06
9213;10463;VEJA PERFUMES JASMIM DO CARIBE 500ML C/24
9213;10465;VEJA PERFUMES JASMIM DO CARIBE 1L C/12
9213;10464;VEJA PERFUMES TULIPA DA HOLANDA 500ML C/24
9213;10467;VEJA PERFUMES JASMIM DO CARIBE 2L C/6
9213;10466;VEJA PERFUMES TULIPA DA HOLANDA 1L C/12
9213;9764;VEJA AROMA SENSE ENERGIA 1L C/12
9213;9763;VEJA AROMA SENSE ALEGRIA 1L C/12
9213;10468;VEJA PERFUMES TULIPA DA HOLANDA 2L C/6
9213;9760;VEJA AROMA SENSE ENERGIA 500ML C/24
9213;9759;VEJA AROMA SENSE ALEGRIA 500ML C/24
9213;9768;VEJA AROMA SENSE ENERGIA 2L C/06
9213;9762;VEJA AROMA SENSE ROMANCE 500ML C/24
9213;9766;VEJA AROMA SENSE ROMANCE1L C/12
9213;9767;VEJA AROMA SENSE ALEGRIA 2L C/06
9213;10639;VEJA PERF SENS BEM ESTAR GDE 2L C/6
9213;9770;VEJA AROMA SENSE ROMANCE 2L C/06
9213;10638;VEJA PERF SENS BEM ESTAR MED 1L C/12
9213;10637;VEJA AROMA SENSE BEM ESTAR 500ML C/24
9213;10640;VEJA PERF SENS EUFORIA 500ML C/24
9213;10641;VEJA AROMA SENSE EUFORIA 1L C/12
9213;10642;VEJA PERF SENS EUFORIA GDE 2L C/6
9213;843;VEJA .PERF SENS.LAVANDA 500ml C/24
9213;8742;VEJA LIMPEZA PESADA CLO. AT. 500ML 20% DESC C/24
9213;8741;VEJA LIMPEZA PESADA ORIGINAL 500ML 20% DESC. C/24
9213;8744;VEJA LIMP PESADA CL AT 2 EM 1 1L 20% DESC C/12
9213;8743;VEJA LIMPEZA PESADA ORIGINAL 1L 20% DESC. C/12
9213;746;VEJA LIMPEZA PESADA FLORAL CAMPESTRE 500ML C/24
9213;752;VEJA LIMPEZA PESADA CLORO ATIVO 2 EM 1 500ML C/24
9213;1676;VEJA LIMPEZA PESADA CITRUS DESENGORD. 500ML C/24
9213;3943;VEJA LIMPEZA PESADA CLORO ATIVO 2 EM 1 1L C/12
9213;754;VEJA LIMPEZA PESADA ORIGINAL 500ML C/24
9213;3934;VEJA LIMP PES ORIGINAL GDE 1L C/12
9213;4539;VEJA LIMPEZA PESADA FLORAL CAMPESTRE 1L C/12
9213;10480;VEJA LIMPEZA PESADA CITRUS 1L C/12
9213;7070;VEJA LIMPEZA PESADA ORIGINAL 2L C/6
9213;7071;VEJA LIMPEZA PESADA FLORAL CAMPESTRE 2L C/6
9213;4247;VEJA LIMP PES LAV C/ALCOOL 500ML C/24
9213;6676;VEJA COZINHA LIMAO SQ. 500ML 20% DESC. C/24
9213;6058;VEJA COZINHA LIMAO PULV. 500ML 30% DESC. C/12
9213;8709;VEJA COZINHA LIMAO REFIL ECON. 400ML C/12
9213;753;VEJA COZINHA LIMAO RECARGA 500ML C/12
9213;759;VEJA DESENG.COZ. SQUEEZE 500ml C/24
9213;10916;VEJA COZINHA LAVANDA SQUEEZE 500ML 20% DESC. C/24
9213;1681;VEJA DESENGORD. COZINHA LARANJA PULV. 500ML C/12
9213;1679;VEJA DESENGORD. LARANJA RECARGA 500ML C/12
9213;10915;VEJA COZINHA LAVANDA PULV. 500ML 30% DESC C/12
9213;209;VEJA DESENG PULVERIZ LIMAO 500ML C/12
9213;9491;VEJA DESENGORD COZINHA LARANJA REF 400ML C/12
9213;10917;VEJA COZINHA LAVANDA REFIL ECON. 400ML C/12
9213;10284;VEJA COZINHA LIMAO 2 REFIS 30% DESC 2 UN C/06
9213;10437;1 VEJA COZ PULV LIMAO + 1 VEJA COZ REFIL LIM C/06
