NEG;CÓD.;DESCRIÇÃO
9218;919;POLIFLOR LUSTRA MOVEIS JASMIM 200ML C/24
9218;944;POLIFLOR LUSTRA MOVEIS LAVANDA 200ML C/24
9218;2821;POLIFLOR LUSTRA MOV MULTISSUPERFICIES 200ML C/24
9218;1087;POLIFLOR LUSTRA MOVEIS PERFUME SUAVE 200ML C/24
9219;919;POLIFLOR LUSTRA MOVEIS JASMIM 200ML C/24
9219;944;POLIFLOR LUSTRA MOVEIS LAVANDA 200ML C/24
9219;2821;POLIFLOR LUSTRA MOV MULTISSUPERFICIES 200ML C/24
9219;1087;POLIFLOR LUSTRA MOVEIS PERFUME SUAVE 200ML C/24
9219;561;DESTAC LIMPADOR MULT. LAV.E ALFAZ. 500ML C/12
9219;3308;DESTAC LIMP. PISOS PORCEL. E CERAM. 750ML C/12
9219;572;DESTAC PISOS LAMINADOS 750ml (LAV E ALFAZEMA C/12
9219;1153;DESTAC LIMPADOR MULT. LAV.E ALFAZ. 750ML C/12
9219;1154;DESTAC LIMP. PISOS MAD. LAV E VANILLA 750ML C/12
9220;919;POLIFLOR LUSTRA MOVEIS JASMIM 200ML C/24
9220;944;POLIFLOR LUSTRA MOVEIS LAVANDA 200ML C/24
9220;2821;POLIFLOR LUSTRA MOV MULTISSUPERFICIES 200ML C/24
9220;1087;POLIFLOR LUSTRA MOVEIS PERFUME SUAVE 200ML C/24
9220;561;DESTAC LIMPADOR MULT. LAV.E ALFAZ. 500ML C/12
9220;3308;DESTAC LIMP. PISOS PORCEL. E CERAM. 750ML C/12
9220;572;DESTAC PISOS LAMINADOS 750ml (LAV E ALFAZEMA C/12
9220;1153;DESTAC LIMPADOR MULT. LAV.E ALFAZ. 750ML C/12
9220;1154;DESTAC LIMP. PISOS MAD. LAV E VANILLA 750ML C/12
9220;5153;NUGGET LIQUIDO INCOLOR 60ML C/24
9220;5154;NUGGET POLIDOR DE SAPATOS LIQ. MARROM 60ML C/24
9220;5155;NUGGET POLIDOR DE SAPATOS LIQ. PRETO 60ML C/24
9220;5156;NUGGET LIQUIDO BRANCO 60ML C/24
9216;2395;VANISH ROSA GEL MULTIUSO POUCH 500ML C/12
9216;4309;VANISH CRYSTAL WHITE GEL POUCH 500ML C/12
9216;10374;VANISH GEL WHITE T MANCHAS MULTI REF 1,2L C/06
9216;10373;VANISH GEL ROSA T MANCHAS MULT REF 1,2L C/06
9216;10800;VANISH GEL ROSA T MANCHAS MULTI REF 200ML C/12
9216;10801;VANISH GEL WHITE T MANCHAS REF 200ML C/12
9216;8755;VANISH OXI ACTION ROSA PO REFIL 400G C/24
9216;8756;VANISH OXI ACTION CRYSTAL WHITE PO REFIL 400 C/24
9216;10805;VANISH OXI ADV ANTIBAC PO REF 330G C/24
9216;10859;VANISH OXI ACTION PO SACHE 120G C/24
9216;10860;VANISH CRYSTAL WHITE PO SACHE 120G C/24
9216;11195;VANISH OXI ACTION ROSA PO REFIL 240G C/24
9216;10806;VANISH OXI ADVANCE ANTIBAC PO 390G C/12
9216;11196;VANISH OXI ACTION CRYSTAL WHITE PO REF 240G C/24
9217;2395;VANISH ROSA GEL MULTIUSO POUCH 500ML C/12
9217;4309;VANISH CRYSTAL WHITE GEL POUCH 500ML C/12
9217;10374;VANISH GEL WHITE T MANCHAS MULTI REF 1,2L C/06
9217;10373;VANISH GEL ROSA T MANCHAS MULT REF 1,2L C/06
9217;10800;VANISH GEL ROSA T MANCHAS MULTI REF 200ML C/12
9217;10801;VANISH GEL WHITE T MANCHAS REF 200ML C/12
9217;8755;VANISH OXI ACTION ROSA PO REFIL 400G C/24
9217;8756;VANISH OXI ACTION CRYSTAL WHITE PO REFIL 400 C/24
9217;10805;VANISH OXI ADV ANTIBAC PO REF 330G C/24
9217;10859;VANISH OXI ACTION PO SACHE 120G C/24
9217;10860;VANISH CRYSTAL WHITE PO SACHE 120G C/24
9217;11195;VANISH OXI ACTION ROSA PO REFIL 240G C/24
9217;10806;VANISH OXI ADVANCE ANTIBAC PO 390G C/12
9217;11196;VANISH OXI ACTION CRYSTAL WHITE PO REF 240G C/24
9217;6963;VANISH SUPER BARRA WHITE TIRA MANCHAS 75G C/48
9217;5975;VANISH SUPER BARRA ROSA TIRA MANCHAS 75G C/48
9217;8251;VANISH S.BARRA 150G ROSA+WHITE C/40% DESC C/24X2
9214;4201;VEJA PERFUMES LAVANDA DA FRANCA 500ML C/24
9214;4836;VEJA PERFUMES LAVANDA DA FRANCA 1L C/12
9214;5210;VEJA PERFUMES LAVANDA DA FRANCA 2L C/06
9214;4202;VEJA PERFUMES FLORES DO MEDITERRANEO 500ML C/24
9214;4837;VEJA PERFUMES FLORES DO MEDITERRANEO 1L C/12
9214;5209;VEJA PERFUMES FLORES DO MEDITERRANEO 2L C/06
9214;10463;VEJA PERFUMES JASMIM DO CARIBE 500ML C/24
9214;10465;VEJA PERFUMES JASMIM DO CARIBE 1L C/12
9214;10464;VEJA PERFUMES TULIPA DA HOLANDA 500ML C/24
9214;10467;VEJA PERFUMES JASMIM DO CARIBE 2L C/6
9214;10466;VEJA PERFUMES TULIPA DA HOLANDA 1L C/12
9214;9764;VEJA AROMA SENSE ENERGIA 1L C/12
9214;9763;VEJA AROMA SENSE ALEGRIA 1L C/12
9214;10468;VEJA PERFUMES TULIPA DA HOLANDA 2L C/6
9214;9760;VEJA AROMA SENSE ENERGIA 500ML C/24
9214;9759;VEJA AROMA SENSE ALEGRIA 500ML C/24
9214;9768;VEJA AROMA SENSE ENERGIA 2L C/06
